switches_ok,always0,always1,quantiles_v_star,quantiles_action_rate,error
1662,572,80,1.22,0,0
1662,572,80,3.11333333333333,0.000904191356695437,0
1662,572,80,Inf,0.10082833257967,0
1662,572,80,Inf,0.999937545753028,0
1662,572,80,-4,0,0
1662,572,80,1.22,0,0
1662,572,80,3.11333333333333,0.000904191356695437,0
1662,572,80,Inf,0.10082833257967,0
1662,572,80,Inf,0.999937545753028,0
1662,572,80,-4,0,0
1662,572,80,1.22,0,0
1662,572,80,3.11333333333333,0.000904191356695437,0
1662,572,80,Inf,0.10082833257967,0
1662,572,80,Inf,0.999937545753028,0
1662,572,80,-4,0,0
1662,572,80,1.22,0,0
1662,572,80,3.11333333333333,0.000904191356695437,0
1662,572,80,Inf,0.10082833257967,0
1662,572,80,Inf,0.999937545753028,0
1662,572,80,-4,0,0
1662,572,80,1.22,0,0
1662,572,80,3.11333333333333,0.000904191356695437,0
1662,572,80,Inf,0.10082833257967,0
1662,572,80,Inf,0.999937545753028,0
1662,572,80,-4,0,0
1662,572,80,1.22,0,-3.07830051390345e-05
1662,572,80,3.11333333333333,0.000904191356695437,
1662,572,80,Inf,0.10082833257967,0.000117794370288898
1662,572,80,Inf,0.999937545753028,5.109240242363e-05
1662,572,80,-4,0,1.82617784826901e-05
1662,572,80,1.22,0,5.98330563480326e-07
1662,572,80,3.11333333333333,0.000904191356695437,-1.01374309252199e-05
1662,572,80,Inf,0.10082833257967,-1.698729039798e-05
1662,572,80,Inf,0.999937545753028,-2.1378063143169e-05
1662,572,80,-4,0,-2.43653345307721e-05
1662,572,80,1.22,0,-2.6400793911895e-05
1662,572,80,3.11333333333333,0.000904191356695437,-2.7792650145994e-05
1662,572,80,Inf,0.10082833257967,-2.8807429920298e-05
1662,572,80,Inf,0.999937545753028,-2.9497776013666e-05
1662,572,80,-4,0,-3.00018840765323e-05
1662,572,80,1.22,0,-3.03665728152673e-05
1662,572,80,3.11333333333333,0.000904191356695437,-3.06279553239454e-05
1662,572,80,Inf,0.10082833257967,0
1662,572,80,Inf,0.999937545753028,0
1662,572,80,-4,0,0
1662,572,80,1.22,0,0
1662,572,80,3.11333333333333,0.000904191356695437,0
1662,572,80,Inf,0.10082833257967,0
1662,572,80,Inf,0.999937545753028,0
1662,572,80,-4,0,0
1662,572,80,1.22,0,0
1662,572,80,3.11333333333333,0.000904191356695437,0
1662,572,80,Inf,0.10082833257967,0
1662,572,80,Inf,0.999937545753028,0
1662,572,80,-4,0,0
1662,572,80,1.22,0,0
1662,572,80,3.11333333333333,0.000904191356695437,0
1662,572,80,Inf,0.10082833257967,0
1662,572,80,Inf,0.999937545753028,0
1662,572,80,-4,0,0
1662,572,80,1.22,0,0
1662,572,80,3.11333333333333,0.000904191356695437,0
1662,572,80,Inf,0.10082833257967,0
1662,572,80,Inf,0.999937545753028,0
1662,572,80,-4,0,0
1662,572,80,1.22,0,0
1662,572,80,3.11333333333333,0.000904191356695437,-3.07830051390345e-05
1662,572,80,Inf,0.10082833257967,
1662,572,80,Inf,0.999937545753028,0.000193554213666201
1662,572,80,-4,0,8.90583738517997e-05
1662,572,80,1.22,0,4.00998682379399e-05
1662,572,80,3.11333333333333,0.000904191356695437,1.41802389817996e-05
1662,572,80,Inf,0.10082833257967,-1.10011990000006e-06
1662,572,80,Inf,0.999937545753028,-1.09334275101099e-05
1662,572,80,-4,0,-1.698729039798e-05
1662,572,80,1.22,0,-2.1378063143169e-05
1662,572,80,3.11333333333333,0.000904191356695437,-2.4215403514021e-05
1662,572,80,Inf,0.10082833257967,-2.6291829657055e-05
1662,572,80,Inf,0.999937545753028,-2.7712767762873e-05
1662,572,80,-4,0,-2.8749499087251e-05
1662,572,80,1.22,0,-2.9455270881013e-05
1662,572,80,3.11333333333333,0.000904191356695437,-3.00018840765323e-05
1662,572,80,Inf,0.10082833257967,-3.03443236717894e-05
1662,572,80,Inf,0.999937545753028,-3.06120815292998e-05
1662,572,80,-4,0,0
1662,572,80,1.22,0,0
1662,572,80,3.11333333333333,0.000904191356695437,0
1662,572,80,Inf,0.10082833257967,0
1662,572,80,Inf,0.999937545753028,0
1662,572,80,-4,0,0
1662,572,80,1.22,0,0
1662,572,80,3.11333333333333,0.000904191356695437,0
1662,572,80,Inf,0.10082833257967,0
1662,572,80,Inf,0.999937545753028,0
1662,572,80,-4,0,0
1662,572,80,1.22,0,0
1662,572,80,3.11333333333333,0.000904191356695437,0
1662,572,80,Inf,0.10082833257967,0
1662,572,80,Inf,0.999937545753028,0
1662,572,80,-4,0,0
1662,572,80,1.22,0,0
1662,572,80,3.11333333333333,0.000904191356695437,0
1662,572,80,Inf,0.10082833257967,0
1662,572,80,Inf,0.999937545753028,0
1662,572,80,-4,0,0
1662,572,80,1.22,0,0
1662,572,80,3.11333333333333,0.000904191356695437,0
1662,572,80,Inf,0.10082833257967,-3.07830051390345e-05
1662,572,80,Inf,0.999937545753028,
1662,572,80,-4,0,
1662,572,80,1.22,0,0.000146751088679099
1662,572,80,3.11333333333333,0.000904191356695437,7.40435170654003e-05
1662,572,80,Inf,0.10082833257967,3.453799183494e-05
1662,572,80,Inf,0.999937545753028,1.26298386078803e-05
1662,572,80,-4,0,-1.64851228921011e-06
1662,572,80,1.22,0,-1.09334275101099e-05
1662,572,80,3.11333333333333,0.000904191356695437,-1.698729039798e-05
1662,572,80,Inf,0.10082833257967,-2.1170461092914e-05
1662,572,80,Inf,0.999937545753028,-2.40625149189101e-05
1662,572,80,-4,0,-2.6180629605389e-05
1662,572,80,1.22,0,-2.763118721942e-05
1662,572,80,3.11333333333333,0.000904191356695437,-2.8690294060308e-05
1662,572,80,Inf,0.10082833257967,-2.9411801710053e-05
1662,572,80,Inf,0.999937545753028,-2.99709879153863e-05
1662,572,80,-4,0,-3.03443236717894e-05
1662,572,80,1.22,0,-3.05958152483003e-05
1662,572,80,3.11333333333333,0.000904191356695437,0
1662,572,80,Inf,0.10082833257967,0
1662,572,80,Inf,0.999937545753028,0
1662,572,80,-4,0,0
1662,572,80,1.22,0,0
1662,572,80,3.11333333333333,0.000904191356695437,0
1662,572,80,Inf,0.10082833257967,0
1662,572,80,Inf,0.999937545753028,0
1662,572,80,-4,0,0
1662,572,80,1.22,0,0
1662,572,80,3.11333333333333,0.000904191356695437,0
1662,572,80,Inf,0.10082833257967,0
1662,572,80,Inf,0.999937545753028,0
1662,572,80,-4,0,0
1662,572,80,1.22,0,0
1662,572,80,3.11333333333333,0.000904191356695437,0
1662,572,80,Inf,0.10082833257967,0
1662,572,80,Inf,0.999937545753028,0
1662,572,80,-4,0,0
1662,572,80,1.22,0,0
1662,572,80,3.11333333333333,0.000904191356695437,0
1662,572,80,Inf,0.10082833257967,0
1662,572,80,Inf,0.999937545753028,-3.07830051390345e-05
1662,572,80,-4,0,-3.07830051390345e-05
1662,572,80,1.22,0,
1662,572,80,3.11333333333333,0.000904191356695437,0.000242071586716797
1662,572,80,Inf,0.10082833257967,0.000126288973279699
1662,572,80,Inf,0.999937545753028,6.63755455528013e-05
1662,572,80,-4,0,3.24168290703796e-05
1662,572,80,1.22,0,1.18717309773794e-05
1662,572,80,3.11333333333333,0.000904191356695437,-1.64851228921011e-06
1662,572,80,Inf,0.10082833257967,-1.05387975222701e-05
1662,572,80,Inf,0.999937545753028,-1.669876540796e-05
1662,572,80,-4,0,-2.09589395061359e-05
1662,572,80,1.22,0,-2.3906617994251e-05
1662,572,80,3.11333333333333,0.000904191356695437,-2.6067153376677e-05
1662,572,80,Inf,0.10082833257967,-2.7547876430966e-05
1662,572,80,Inf,0.999937545753028,-2.856796050954e-05
1662,572,80,-4,0,-2.9367348760973e-05
1662,572,80,1.22,0,-2.99070147015523e-05
1662,572,80,3.11333333333333,0.000904191356695437,-3.02982086523409e-05
1662,572,80,Inf,0.10082833257967,-3.05791475656384e-05
1662,572,80,Inf,0.999937545753028,-3.07790403280203e-05
1662,572,80,-4,0,0
1662,572,80,1.22,0,0
1662,572,80,3.11333333333333,0.000904191356695437,0
1662,572,80,Inf,0.10082833257967,0
1662,572,80,Inf,0.999937545753028,0
1662,572,80,-4,0,0
1662,572,80,1.22,0,0
1662,572,80,3.11333333333333,0.000904191356695437,0
1662,572,80,Inf,0.10082833257967,0
1662,572,80,Inf,0.999937545753028,0
1662,572,80,-4,0,0
1662,572,80,1.22,0,0
1662,572,80,3.11333333333333,0.000904191356695437,0
1662,572,80,Inf,0.10082833257967,0
1662,572,80,Inf,0.999937545753028,0
1662,572,80,-4,0,0
1662,572,80,1.22,0,0
1662,572,80,3.11333333333333,0.000904191356695437,0
1662,572,80,Inf,0.10082833257967,0
1662,572,80,Inf,0.999937545753028,0
1662,572,80,-4,0,-3.07830051390345e-05
