switches_ok,always0,always1,quantiles_v_star,quantiles_action_rate,error
1662,572,80,Inf,0.999937545753028,
1662,572,80,-4,0,
1662,572,80,1.22,0,3.89573178558407e-05
1662,572,80,3.11333333333333,0.000904191356695437,8.24696453312953e-06
1662,572,80,Inf,0.10082833257967,-6.67242733302974e-06
1662,572,80,Inf,0.999937545753028,-1.54920034100001e-05
1662,572,80,-4,0,-2.0743434942806e-05
1662,572,80,1.22,0,-2.40625149189101e-05
1662,572,80,3.11333333333333,0.000904191356695437,-2.6180629605389e-05
1662,572,80,Inf,0.10082833257967,-2.7712767762873e-05
1662,572,80,Inf,0.999937545753028,-2.8807429920298e-05
1662,572,80,-4,0,-2.9497776013666e-05
1662,572,80,1.22,0,-3.00018840765323e-05
1662,572,80,3.11333333333333,0.000904191356695437,-3.03665728152673e-05
1662,572,80,Inf,0.10082833257967,-3.06279553239454e-05
