logS,delta,sigma,v_star,action_rate,action_rate_cutoff,n_switches_a_star,switches_ok,always0,always1,n_v,dv
-3.4,0.52,1,3.78,4.82412541069906e-05,7.84141793835902e-05,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3.4,0.58,1,3.88,2.17199543017462e-05,5.22282324018075e-05,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3.4,0.64,1,3.97333333333333,4.70808334465698e-06,3.54368778293646e-05,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3.4,0.7,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.4,0.76,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.4,0.82,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.4,0.88,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.4,0.94,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.4,1,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.4,1.06,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.4,1.12,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.4,1.18,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.4,1.24,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.4,1.3,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.4,1.36,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.4,1.42,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.4,1.48,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.4,1.54,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.4,1.6,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.4,1.66,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.4,1.72,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.4,1.78,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.4,1.84,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.4,1.9,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.4,1.96,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
